"ENTIDAD","INST","TIPO","MUN","LOC","CP","COSTAN","RUBINST"
"TABASCO","Universidad Juárez Autónoma de Tabasco","PUBLICA","VILLAHERMOSA","COLONIA","86040","4000","CIENCIAS Y HUMANIDADES"
"TABASCO","Instituto Tecnológico de Villahermosa","PUBLICA","VILLAHERMOSA","COLONIA","86010","7324","CIENCIAS Y COMPUTACION"
"TABASCO","Universidad Olmeca A.C.","PRIVADA","VILLAHERMOSA","COLONIA","86280","12532","LICENCIATURA"
"TABASCO","Universidad Tecnológica de Tabasco","PRIVADA","VILLAHERMOSA","CARRETERA","86000","11820","GATRONOMIA Y PETROLEO"
"TABASCO","Universidad Politécnica del Centro","PUBLICA","VILLAHERMOSA","RANCHERIA","86290","7000","CIENCIAS Y MANUFACTURA"
"TABASCO","Universidad de Sotavento A.C.","PRIVADA","VILLAHERMOSA","COLONIA","86029","66400","ADMINISTRATIVO"
"TABASCO"," Universidad Mundo Maya","PRIVADA","VILLAHERMOSA","CARRETERA","86126","30000","CIENCIAS Y HUMANIDADES"
"TABASCO","Instituto Tecnológico de la Chontalpa","PUBLICA","NACAJUCA","EJIDO","86220","8000","GEOCIENCIAS Y PEROLEO"
"TABASCO","Instituto Tecnológico de Huimanguillo","PUBLICA","HUIMANGUILLO","CARRETERA","86270","8000","PETROLEO"
"TABASCO","Universidad Popular de la Chontalpa","PRIVADA","CARDENAS","RANCHERIA","86500","46680","PETROLEO Y MANUFACUTRA"
"TABASCO","Universidad Politécnica del Golfo de México","PRIVADA","PARAISO","CARRETERA","86600","24213","AGRONOMIA Y VETERINARIA"
"TABASCO","DACA","PUBLICA","TEAPA","RANCHERIA","86290","5000","AGRONOMIA Y VETERINARIA"
"YUCATAN","Universidad Autónoma de Yucatán","PUBLICA","MERIDA","COLONIA","97000","6300","MEDICINA Y CIENCIAS"
"YUCATAN","Instituto Tecnológico de Mérida","PUBLICA","MERIDA","COLONIA","97118","8000","CIENCIAS Y COMPUTACION"
"YUCATAN","Universidad Marista de Mérida","PRIVADA","MERIDA","COLONIA","97300","71250","MEDICINA Y CIENCIAS"
"YUCATAN","Universidad Mesoamericana de San Agustín","PRIVADA","MERIDA","COLONIA","97000","*","ADMINISTRATIVO"
"YUCATAN","Universidad Anahuac Mayab","PRIVADA","MERIDA","CARRETERA","97302","180000","ECONOMIA Y NEGOCIOS"
"YUCATAN","Universidad Modelo","PRIVADA","MERIDA","CARRETERA","97305","95000","CIENCIAS Y TECNOLOGIAS"
"YUCATAN","Universidad Politécnica de Yucatán","PUBLICA","UCU","CARRETERA","97357","5850","TECNOLOGIAS"
"YUCATAN","Universidad Vizcaya de las Américas","PRIVADA","MERIDA","COLONIA","97205","30000","CIENCIAS Y MEDICINA"
